L1,L2,L3,pIC50,L1_MolWt,L1_MolLogP,L1_NumHDonors,L1_NumHAcceptors,L1_TPSA,L1_NumRotatableBonds,L1_NumAromaticRings,L1_NumAliphaticRings,L1_FractionCSP3,L1_HeavyAtomCount,L2_MolWt,L2_MolLogP,L2_NumHDonors,L2_NumHAcceptors,L2_TPSA,L2_NumRotatableBonds,L2_NumAromaticRings,L2_NumAliphaticRings,L2_FractionCSP3,L2_HeavyAtomCount,L3_MolWt,L3_MolLogP,L3_NumHDonors,L3_NumHAcceptors,L3_TPSA,L3_NumRotatableBonds,L3_NumAromaticRings,L3_NumAliphaticRings,L3_FractionCSP3,L3_HeavyAtomCount
c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)OC)c1ncccc1 ,Cl,Cl,5.57,339.3980000000001,4.881200000000004,0.0,4.0,47.900000000000006,4.0,4.0,0.0,0.045454545454545456,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)OC)c1ncccc1 ,Cl,Cl,5.27,339.3980000000001,4.881200000000004,0.0,4.0,47.900000000000006,4.0,4.0,0.0,0.045454545454545456,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)OC)c1ncccc1,Cl,Cl,5.05,339.3980000000001,4.881200000000004,0.0,4.0,47.900000000000006,4.0,4.0,0.0,0.045454545454545456,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)OC)c1ncccc1,Cl,Cl,5.38,339.3980000000001,4.881200000000004,0.0,4.0,47.900000000000006,4.0,4.0,0.0,0.045454545454545456,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)OC)c1ncccc1,Cl,Cl,5.08,339.3980000000001,4.881200000000004,0.0,4.0,47.900000000000006,4.0,4.0,0.0,0.045454545454545456,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1cc(cc(c1)OC)OC)c1ncccc1,Cl,Cl,5.52,369.4240000000001,4.889800000000005,0.0,5.0,57.13000000000001,5.0,4.0,0.0,0.08695652173913043,28.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1cc(cc(c1)OC)OC)c1ncccc1,Cl,Cl,5.41,369.4240000000001,4.889800000000005,0.0,5.0,57.13000000000001,5.0,4.0,0.0,0.08695652173913043,28.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1cc(cc(c1)OC)OC)c1ncccc1,Cl,Cl,5.21,369.4240000000001,4.889800000000005,0.0,5.0,57.13000000000001,5.0,4.0,0.0,0.08695652173913043,28.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,OC(=O)c1cccc(c1)O,OC(=O)c1cccc(c1)O,6.36,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,0,0.0,10,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,0,0.0,10
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,OC(=O)c1cccc(c1)O,OC(=O)c1cccc(c1)O,6.27,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,0,0.0,10,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,0,0.0,10
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,OC(=O)c1ccc(cc1)O,OC(=O)c1ccc(cc1)O,5.83,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,0,0.0,10,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,0,0.0,10
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,OC(=O)c1ccc(cc1)O,OC(=O)c1ccc(cc1)O,6.13,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,0,0.0,10,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,0,0.0,10
c1(cc(cc(n1)c1ccccn1)OCc1cc2c(cc1)cccc2)c1ncccc1,[O-]N(=O)=O,[H]O[H],4.64,389.458,5.937800000000005,0.0,4.0,47.900000000000006,5.0,5.0,0.0,0.038461538461538464,30.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1cc2c(cc1)cccc2)c1ncccc1,[O-]N(=O)=O,[H]O[H],5.05,389.458,5.937800000000005,0.0,4.0,47.900000000000006,5.0,5.0,0.0,0.038461538461538464,30.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1cc2c(cc1)cccc2)c1ncccc1,[O-]N(=O)=O,[H]O[H],5.3,389.458,5.937800000000005,0.0,4.0,47.900000000000006,5.0,5.0,0.0,0.038461538461538464,30.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
