L1,L2,L3,pIC50
 c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)O)c1ncccc1,Cl,Cl,6.57
 c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)O)c1ncccc1,Cl,Cl,5.75
 c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)O)c1ncccc1,Cl,Cl,6.36
 c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)O)c1ncccc1,Cl,Cl,6.36
 c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)O)c1ncccc1,Cl,Cl,6.45
c1(cc(cc(n1)c1ccccn1)c1c(cccc1)O)c1ncccc1,Cl,Cl,6.64
c1(cc(cc(n1)c1ccccn1)c1c(cccc1)O)c1ncccc1,Cl,Cl,5.9
c1(cc(cc(n1)c1ccccn1)c1c(cccc1)O)c1ncccc1,Cl,Cl,6.23
c1(cc(cc(n1)c1ccccn1)c1c(cccc1)O)c1ncccc1,Cl,Cl,5.97
c1(cc(cc(n1)c1ccccn1)c1c(cccc1)O)c1ncccc1,Cl,Cl,6.43
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)OC)c1ncccc1,Cl,Cl,6.26
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)OC)c1ncccc1,Cl,Cl,6.29
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)OC)c1ncccc1,Cl,Cl,6.59
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)OC)c1ncccc1,Cl,Cl,6.25
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)OC)c1ncccc1,Cl,Cl,6.24
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)I)c1ncccc1,Cl,Cl,6.08
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)I)c1ncccc1,Cl,Cl,6.07
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)I)c1ncccc1,Cl,Cl,5.98
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)I)c1ncccc1,Cl,Cl,5.84
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)I)c1ncccc1,Cl,Cl,6.56
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)Br)c1ncccc1,Cl,Cl,5.93
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)Br)c1ncccc1,Cl,Cl,6.23
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)Br)c1ncccc1,Cl,Cl,6.11
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)Br)c1ncccc1,Cl,Cl,5.87
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)Br)c1ncccc1,Cl,Cl,6.67
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)Cl)c1ncccc1,Cl,Cl,6.18
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)Cl)c1ncccc1,Cl,Cl,6.21
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)Cl)c1ncccc1,Cl,Cl,5.99
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)Cl)c1ncccc1,Cl,Cl,5.84
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)Cl)c1ncccc1,Cl,Cl,6.13
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)F)c1ncccc1,Cl,Cl,5.94
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)F)c1ncccc1,Cl,Cl,6.24
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)F)c1ncccc1,Cl,Cl,6.11
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)F)c1ncccc1,Cl,Cl,6.04
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)F)c1ncccc1,Cl,Cl,6.59
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)S(=O)(=O)C)c1ncccc1,Cl,Cl,6.27
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)S(=O)(=O)C)c1ncccc1,Cl,Cl,6.14
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)S(=O)(=O)C)c1ncccc1,Cl,Cl,6.51
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)S(=O)(=O)C)c1ncccc1,Cl,Cl,5.85
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)S(=O)(=O)C)c1ncccc1,Cl,Cl,5.86
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)NC(=O)CCCCC1CCSS1)c1ncccc1,Cl,Cl,5.31
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)NC(=O)CCCCC1CCSS1)c1ncccc1,Cl,Cl,5.49
c1(cc(cc(n1)c1ccccn1)c1c(c(ccc1)Br)O)c1ncccc1,Cl,Cl,5.91
c1(cc(cc(n1)c1ccccn1)c1c(c(ccc1)Br)O)c1ncccc1,Cl,Cl,6.02
c1(cc(cc(n1)c1ccccn1)c1c(c(ccc1)Br)O)c1ncccc1,Cl,Cl,5.92
c1(cc(cc(n1)c1ccccn1)c1c(c(ccc1)Br)O)c1ncccc1,Cl,Cl,5.96
c1(cc(cc(n1)c1ccccn1)c1c(c(ccc1)Br)O)c1ncccc1,Cl,Cl,6.0
c1(cc(cc(n1)c1ccccn1)c1c(c(ccc1)Br)O)c1ncccc1,Cl,Cl,6.08
c1(cc(cc(n1)c1ccccn1)c1c(c(ccc1)Br)O)c1ncccc1,Cl,Cl,6.0
c1(cc(cc(n1)c1ccccn1)c1c(ccc(c1)Br)O)c1ncccc1,Cl,Cl,5.86
c1(cc(cc(n1)c1ccccn1)c1c(ccc(c1)Br)O)c1ncccc1,Cl,Cl,6.03
c1(cc(cc(n1)c1ccccn1)c1c(ccc(c1)Br)O)c1ncccc1,Cl,Cl,5.93
c1(cc(cc(n1)c1ccccn1)c1c(ccc(c1)Br)O)c1ncccc1,Cl,Cl,5.94
c1(cc(cc(n1)c1ccccn1)c1c(ccc(c1)Br)O)c1ncccc1,Cl,Cl,6.0
c1(cc(cc(n1)c1ccccn1)c1c(ccc(c1)Br)O)c1ncccc1,Cl,Cl,6.13
c1(cc(cc(n1)c1ccccn1)c1c(ccc(c1)Br)O)c1ncccc1,Cl,Cl,6.08
 c1(cc(cc(n1)c1ccccn1)c1c(c(ccc1)Cl)O)c1ncccc1,Br,Br,5.41
 c1(cc(cc(n1)c1ccccn1)c1c(c(ccc1)Cl)O)c1ncccc1,Br,Br,5.33
 c1(cc(cc(n1)c1ccccn1)c1c(c(ccc1)Cl)O)c1ncccc1,Br,Br,5.28
c1(cc(cc(n1)c1ccccn1)c1c(cc(cc1)Cl)O)c1ncccc1,Br,Br,5.6
c1(cc(cc(n1)c1ccccn1)c1c(cc(cc1)Cl)O)c1ncccc1,Br,Br,5.72
c1(cc(cc(n1)c1ccccn1)c1c(cc(cc1)Cl)O)c1ncccc1,Br,Br,5.66
c1(cc(cc(n1)c1ccccn1)c1c(ccc(c1)Cl)O)c1ncccc1,Br,Br,5.48
c1(cc(cc(n1)c1ccccn1)c1c(ccc(c1)Cl)O)c1ncccc1,Br,Br,5.52
c1(cc(cc(n1)c1ccccn1)c1c(ccc(c1)Cl)O)c1ncccc1,Br,Br,5.57
c1(cc(cc(n1)c1ccccn1)c1occc1)c1ncccc1 , Cl , Cl ,4.76
c1(cc(cc(n1)c1ccccn1)c1occc1)c1ncccc1 , Cl , Cl ,5.54
c1(cc(cc(n1)c1ccccn1)c1occc1)c1ncccc1 , Cl , Cl ,4.69
c1(cc(cc(n1)c1ccccn1)c1occc1)c1ncccc1 , Cl , Cl ,4.37
 c1(cc(cc(n1)c1ccccn1)c1sccc1)c1ncccc1, Cl , Cl ,5.68
 c1(cc(cc(n1)c1ccccn1)c1sccc1)c1ncccc1, Cl , Cl ,5.38
c1(cc(cc(n1)c1ccccn1)c1nc2c(cc1)cccc2)c1ncccc1, Cl , Cl ,6.43
c1(cc(cc(n1)c1ccccn1)c1nc2c(cc1)cccc2)c1ncccc1, Cl , Cl ,6.68
c1(cc(cc(n1)c1ccccn1)c1nc2c(cc1)cccc2)c1ncccc1, Cl , Cl ,4.5
c1(cc(cc(n1)c1ccccn1)c1nc2c(cc1)cccc2)c1ncccc1, Cl , Cl ,4.73
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)NC(=O)/C=C/c1cc(c(cc1)O)O)c1ncccc1, Cl , Cl ,5.35
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)NC(=O)/C=C/c1cc(c(cc1)O)O)c1ncccc1, Cl , Cl ,5.22
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)NC(=O)/C=C/c1cc(c(cc1)O)O)c1ncccc1, Cl , Cl ,5.12
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)NC(=O)/C=C/c1ccc(cc1)O)c1ncccc1, Cl , Cl ,5.52
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)NC(=O)/C=C/c1ccc(cc1)O)c1ncccc1, Cl , Cl ,5.12
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)NC(=O)/C=C/c1ccc(cc1)O)c1ncccc1, Cl , Cl ,5.12
