Method,R2_CV_Mean,R2_CV_Std,RMSE_Mean,RMSE_Std,MAE_Mean,MAE_Std
Variance Threshold,0.4893010730623864,0.31135147129812596,0.41569199454981165,0.16192881077454122,0.3173045722172991,0.13216516782907015
Correlation Filter,0.4399614775118483,0.349176440093293,0.4327104745743683,0.1636453176273469,0.3251753035748739,0.13114948559568868
SelectKBest,0.4074990127793754,0.3182817141441142,0.43629738872334134,0.16211226384116387,0.32234101769673973,0.1249621151568469
RFE,0.19637185102254157,0.7407655489187651,0.4935444428179305,0.2224504248381974,0.35007653768980956,0.15440343148121338
